sku,title,brand,category,product_url,price,image,in_stock,e_retailer,client,market,type,position,listing_url,page
B3-377734,"Pampers Premium Protection Größe 1, 2kg-5kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-gr.-1-2-5kg-tragepack/B3-377734.html,4.49,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/377734_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,1,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-377327,"Pampers Baby-Dry Größe 6, 13-18kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-gr.-6-13-18kg-doppelpack/B3-377327.html,12.74,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/377327_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,2,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-377557,"Pampers Baby-Dry Größe 8, 17kg+",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-gr.-8-17pluskg-einzelpack/B3-377557.html,7.49,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/377557_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,3,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-923063,"Pampers Premium Protection Pants Größe  5, 12kg-17kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-pants-gr.-5-12-17kg-jumbo-pack/B3-923063.html,11.24,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/923063_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,4,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-377652,"Pampers Baby-Dry Pants Größe 3, 6kg -  11kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-pants-gr.-3-6-11kg-einzelpack/B3-377652.html,7.49,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/377652_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,5,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-773579,"Pampers Baby-Dry, Größe 5+, 12-17kg,  Monatsbox",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-baby-dry-gr.5plus-junior-plus-12-17kg-monatsbox/B3-773579.html,33.74,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/773579_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,6,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-377681,"Pampers Baby-Dry Pants Größe 6, 15kg+",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-pants-gr.-6-15pluskg-einzelpack/B3-377681.html,7.49,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/377681_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,7,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-621639,BABYWELL Pants XXL Gr. 6,BABYWELL,babykind-windelnwickeln-windeln,https://www.bipa.at/babywell-pants-xxl-gr.-6/B3-621639.html,4.12,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/original/621639.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,8,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-923348,"Pampers Premium Protection Pants,  Größe 4, 9-15kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-pants-gr.-4-9-15kg-value-pack/B3-923348.html,9.37,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/923348_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,9,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-858471,BABYWELL Premium-Windeln Mini Gr. 2,BABYWELL,babykind-windelnwickeln-windeln,https://www.bipa.at/babywell-premium-windeln-mini-gr.-2/B3-858471.html,4.49,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/original/858471.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,10,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-377423,"Pampers Baby-Dry Größe 3, 6-10kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-gr.-3-6-10kg-einzelpack/B3-377423.html,7.49,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/377423_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,11,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-379248,Pampers Baby-Dry Gr. 4 (9-14kg) Giga Pack,Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-gr.-4-9-14kg-giga-pack/B3-379248.html,22.49,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/original/379248.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,12,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-475742,"Pampers Harmonie Größe 3, 6kg - 10kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-noname/B3-475742.html,5.62,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/475742_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,13,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-377437,"Pampers Baby-Dry Größe 4+, 10-15kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-gr.-4plus-10-15kg-einzelpack/B3-377437.html,7.49,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/377437_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,14,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-377542,"Pampers Baby-Dry Größe 7, 15kg+",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-gr.-7-15pluskg-einzelpack/B3-377542.html,7.49,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/377542_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,15,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-379244,"Pampers Baby-Dry Größe 3, 6-10kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-gr.-3-6-10kg-giga-pack/B3-379244.html,22.49,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/379244_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,16,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
