sku,title,sub_title,brand,product_url,description,product_specification,price,old_price,image,in_stock,is_sponsored,discount_value,rating,reviews,e_retailer,client,market,type,position,listing_url,page
9200000112317120,Elmex Sensitive Tandpasta 4 x 75ml - Voor Gevoelige Tanden - Voordeelverpakking,,Elmex,https://www.kruidvat.nl/nl/nl/p/elmex-sensitive-tandpasta-4-x-75ml-voor-gevoelige-tanden-voordeelverpakking/9200000112317120/,Let op: door een verpakkingswijziging kan de verpakking van het geleverde product afwijken van de afbeelding.…,"['Voor sterke tanden', 'Met fluoride', '4 stuk(s)']",15.52,,https://media.s-bol.com/gkr389oPAXJl/168x154.jpg,True,False,[],4.6,71,bol.com,P&G,NL,Search,1,https://www.bol.com/nl/nl/s/?searchtext=tandpasta,1
9300000034530970,Oral-B Pro-Expert Professional Protection Tandpasta - Voordeelverpakking - 4x75ml,,Oral B,https://www.kruidvat.nl/nl/nl/p/oral-b-pro-expert-professional-protection-tandpasta-voordeelverpakking-4x75ml/9300000034530970/,"De meest geavanceerde tandpasta van Oral-B, 24 uur bescherming tegen tandplak bij twee keer per dag poetsen…","['Voor glazuurbescherming', 'Met fluoride', '4 stuk(s)']",8.01,,https://www.kruidvat.nl/,True,False,['52%'],4.4,14,bol.com,P&G,NL,Search,2,https://www.bol.com/nl/nl/s/?searchtext=tandpasta,1
9300000031153240,Oral-B Pro-Expert Professionele Bescherming - Voordeelverpakking 4 x 125 ml - Tandpasta verpakt in gerecycleerd karton,,Oral B,https://www.kruidvat.nl/nl/nl/p/oral-b-pro-expert-professionele-bescherming-voordeelverpakking-4-x-125-ml-tandpasta-verpakt-in-gerecycleerd-karton/9300000031153240/,Tandpasta Oral-B Pro-Expert Professionele Bescherming verpakt in gerecycleerd karton De meest geavanceerde…,"['Voor glazuurbescherming', 'Met fluoride', '4 stuk(s)']",14.87,,https://media.s-bol.com/jngQwBwXLELR/156x210.jpg,True,True,['40%'],4.4,14,bol.com,P&G,NL,Search,3,https://www.bol.com/nl/nl/s/?searchtext=tandpasta,1
9300000031153241,Oral-B 3D White Luxe Perfection - Voordeelverpakking 4 x 100 ml -Tandpasta verpakt in gerecycleerd karton,,Oral B,https://www.kruidvat.nl/nl/nl/p/oral-b-3d-white-luxe-perfection-voordeelverpakking-4-x-100-ml-tandpasta-verpakt-in-gerecycleerd-karton/9300000031153241/,Tandpasta Oral-B 3D White Luxe Perfection verpakt in gerecycleerd karton Verwijdert tot 100% van de oppervlakkige…,"['Voor witte tanden', 'Met fluoride', '4 stuk(s)']",17.49,,https://www.kruidvat.nl/,True,True,['30%'],Er zijn nog geen beoordelingen voor dit product.,,bol.com,P&G,NL,Search,4,https://www.bol.com/nl/nl/s/?searchtext=tandpasta,1
9200000028884769,Aquafresh Freshmint - 5x 75 ml - Tandpasta - Voordeelverpakking,,Aquafresh,https://www.kruidvat.nl/nl/nl/p/aquafresh-freshmint-5x-75-ml-tandpasta-voordeelverpakking/9200000028884769/,Dè tandpasta voor het hele gezin. Aquafresh 3-voudige bescherming is verbeterd. De nieuwe glazuur+ formule…,"['Voor frisse adem', 'Met fluoride', '5 stuk(s)']",14.99,,https://www.kruidvat.nl/,True,False,[],4.5,61,bol.com,P&G,NL,Search,5,https://www.bol.com/nl/nl/s/?searchtext=tandpasta,1
9200000112317138,Colgate Tandpasta Caries Protection - 6 x 75 ml - Voordeelverpakking,Colgate tandpasta 6 stuks voordeelverpakking,Colgate,https://www.kruidvat.nl/nl/nl/p/colgate-tandpasta-caries-protection-6-x-75-ml-voordeelverpakking/9200000112317138/,Colgate Caries Protection Tandpasta 75 ml Colgate Caries Protection Tandpasta helpt gaatjes op de tanden…,"['Voor sterke tanden', 'Met fluoride', '6 stuk(s)']",11.94,,https://www.kruidvat.nl/,True,False,[],4.4,33,bol.com,P&G,NL,Search,6,https://www.bol.com/nl/nl/s/?searchtext=tandpasta,1
9300000024724257,Prodent Cool Mint Tandpasta - 12 x 75 ml - Voordeelverpakking,,Prodent,https://www.kruidvat.nl/nl/nl/p/prodent-cool-mint-tandpasta-12-x-75-ml-voordeelverpakking/9300000024724257/,Prodent Cool Mint tandpasta voor schone tanden en een frisse adem. Prodent Cool Mint Tandpasta is de…,"['Voor frisse adem | gezond tandvlees | glazuurbescherming | sterke tanden | witte tanden', 'Met fluoride', '12 stuk(s)']",16.00,,https://www.kruidvat.nl/,True,False,['33%'],4.4,51,bol.com,P&G,NL,Search,7,https://www.bol.com/nl/nl/s/?searchtext=tandpasta,1
9200000130146174,Sensodyne Repair & Protect - 2 X 75 ML- Tandpasta,,Sensodyne,https://www.kruidvat.nl/nl/nl/p/sensodyne-repair-protect-2-x-75-ml-tandpasta/9200000130146174/,Sensodyne Repair & Protect Extra Fresh Tandpasta helpt de kwetsbare plekken van de tand te herstellen…,"['Voor frisse adem', 'Met fluoride', '2 stuk(s)']",7.19,,https://www.kruidvat.nl/,True,False,['40%'],4.7,17,bol.com,P&G,NL,Search,8,https://www.bol.com/nl/nl/s/?searchtext=tandpasta,1
9200000112317114,Elmex Anti Caries Tandpasta 4 x 75ml - Voordeelverpakking,,Elmex,https://www.kruidvat.nl/nl/nl/p/elmex-anti-caries-tandpasta-4-x-75ml-voordeelverpakking/9200000112317114/,De zeer effectieve formule met aminfluoride vormt een tweevoudige actieve calcium-fluoride beschermlaag…,"['Voor sterke tanden', 'Met fluoride', '4 stuk(s)']",15.19,,https://www.kruidvat.nl/,True,False,[],4.2,33,bol.com,P&G,NL,Search,9,https://www.bol.com/nl/nl/s/?searchtext=tandpasta,1
9200000112317132,Elmex Junior 5-12 jaar Kindertandpasta 6 x 75ml - Voordeelverpakking,,Elmex,https://www.kruidvat.nl/nl/nl/p/elmex-junior-5-12-jaar-kindertandpasta-6-x-75ml-voordeelverpakking/9200000112317132/,Elmex Junior 5-12 Jaar Gel-Tandpasta 75 ml Deze Elmex Anti-caries tandpasta met zijn prettige smaak voor…,"['Voor sterke tanden', 'Met fluoride', '6 stuk(s)']",17.94,,https://www.kruidvat.nl/,True,False,[],4.7,39,bol.com,P&G,NL,Search,10,https://www.bol.com/nl/nl/s/?searchtext=tandpasta,1
