sku,title,brand,product_url,bullet_points,price,image,in_stock,rating,reviews,e_retailer,client,market,type,position,listing_url,page
352612,Oral-B mundskyl til tandkøds- og emaljepleje 720269 (500 ml) ,,https://www.elgiganten.dk/product/personlig-pleje-skonhed-velvare/mund-tandpleje/tandpasta/oral-b-mundskyl-til-tandkods-og-emaljepleje-720269-500-ml/352612,"['Frisk myntesmag', 'Alkoholfri', 'Tandkøds- og emaljebeskyttelse']",59.-,https://www.elgiganten.dk/image/dv_web_D180001002828876/352612/oral-b-mundskyl-til-tandkods-og-emaljepleje-720269-500-ml--plp_product-tile-250.jpg,True,, 0,elgiganten.dk,P&G,DK,Search,1,https://www.elgiganten.dk/search/mundskyl,1
352606,Oral-B Pro-Expert Strong Teeth mundskyl 090616 (lilla) ,,https://www.elgiganten.dk/product/personlig-pleje-skonhed-velvare/mund-tandpleje/mundskyller/oral-b-pro-expert-strong-teeth-mundskyl-090616-lilla/352606,"['500ml volumen', '24-timers plakbeskyttelse', 'Brænder ikke i munden']",49.-,https://www.elgiganten.dk/image/dv_web_D180001002826360/352606/oral-b-pro-expert-strong-teeth-mundskyl-090616-lilla--plp_product-tile-250.jpg,True,3.0, 1,elgiganten.dk,P&G,DK,Search,2,https://www.elgiganten.dk/search/mundskyl,1
123486,Oral-B AquaCare 6 mundskyller 233084 ,,https://www.elgiganten.dk/product/personlig-pleje-skonhed-velvare/mund-tandpleje/mundskyller/oral-b-aquacare-6-mundskyller-233084/123486,"['Oxyjet teknologi', '3 niveauer, 2 vandstråler', 'Ledningsfri']",899.-,https://www.elgiganten.dk/image/dv_web_D180001002510067/123486/oral-b-aquacare-6-mundskyller-233084--plp_product-tile-250.jpg,True,3.3, 3,elgiganten.dk,P&G,DK,Search,3,https://www.elgiganten.dk/search/mundskyl,1
123487,Oral-B AquaCare 4 mundskyller 233220 ,,https://www.elgiganten.dk/product/personlig-pleje-skonhed-velvare/mund-tandpleje/mundskyller/oral-b-aquacare-4-mundskyller-233220/123487,"['Oxyhet teknlogi', '2 niveauer, 2 vandstråler', 'Ledningsfri']",699.-,https://www.elgiganten.dk/image/dv_web_D180001002510082/123487/oral-b-aquacare-4-mundskyller-233220--plp_product-tile-250.jpg,True,, 0,elgiganten.dk,P&G,DK,Search,4,https://www.elgiganten.dk/search/mundskyl,1
304734,Oral-B Super tandtråd 017369 ,,https://www.elgiganten.dk/product/personlig-pleje-skonhed-velvare/mund-tandpleje/mundskyller/oral-b-super-tandtrad-017369/304734,"['50 forudskårne tandtråd', '3-i-1 brug', 'Ideel til bøjler/broer']",19.-,https://www.elgiganten.dk/image/dv_web_D180001002725160/304734/oral-b-super-tandtrad-017369--plp_product-tile-250.jpg,True,, 0,elgiganten.dk,P&G,DK,Search,5,https://www.elgiganten.dk/search/mundskyl,1
304729,Oral-B ProExpert Premium tandtråd 854462 ,,https://www.elgiganten.dk/product/personlig-pleje-skonhed-velvare/mund-tandpleje/mundskyller/oral-b-proexpert-premium-tandtrad-854462/304729,"['40 m tandtråd', 'Reducerer tandkødsbetændelse', 'Mintsmag']",25.-,https://www.elgiganten.dk/image/dv_web_D180001002725142/304729/oral-b-proexpert-premium-tandtrad-854462--plp_product-tile-250.jpg,True,, 0,elgiganten.dk,P&G,DK,Search,6,https://www.elgiganten.dk/search/mundskyl,1
304738,Oral-B Essential tandtråd 005029 ,,https://www.elgiganten.dk/product/personlig-pleje-skonhed-velvare/mund-tandpleje/mundskyller/oral-b-essential-tandtrad-005029/304738,"['50 m tandtråd', 'Avanceret 2-lagsdesign', 'Mintsmag']",19.-,https://www.elgiganten.dk/image/dv_web_D180001002725196/304738/oral-b-essential-tandtrad-005029--plp_product-tile-250.jpg,True,, 0,elgiganten.dk,P&G,DK,Search,7,https://www.elgiganten.dk/search/mundskyl,1
304739,Oral-B Satin tandtråd 017947 ,,https://www.elgiganten.dk/product/personlig-pleje-skonhed-velvare/mund-tandpleje/mundskyller/oral-b-satin-tandtrad-017947/304739,"['25 m tandtråd', 'Satinagtig tekstur', 'Mintsmag']",19.-,https://www.elgiganten.dk/image/dv_web_D180001002725132/304739/oral-b-satin-tandtrad-017947--plp_product-tile-250.jpg,True,, 0,elgiganten.dk,P&G,DK,Search,8,https://www.elgiganten.dk/search/mundskyl,1
384482,Panasonic Air In erstatningsmundstykke EW0950W835 ,,https://www.elgiganten.dk/product/personlig-pleje-skonhed-velvare/mund-tandpleje/mundskyller/panasonic-air-in-erstatningsmundstykke-ew0950w835/384482,"['Fjerner plak', '2 stykker i pakken', 'Til EW1211/1311/1313/1411']",49.-,https://www.elgiganten.dk/image/dv_web_D180001002869874/384482/panasonic-air-in-erstatningsmundstykke-ew0950w835--plp_product-tile-250.jpg,True,, 0,elgiganten.dk,P&G,DK,Search,9,https://www.elgiganten.dk/search/mundskyl,1
26605,Panasonic mundskyller EW1411H845 ,,https://www.elgiganten.dk/product/personlig-pleje-skonhed-velvare/mund-tandpleje/mundskyller/panasonic-mundskyller-ew1411h845/26605,"['Rengøring mellem tænderne', 'Rengøring med vandstråle', 'Kapacitet: 130 ml, trådløs']",699.-,https://www.elgiganten.dk/image/dv_web_D180001002313106/26605/panasonic-mundskyller-ew1411h845--plp_product-tile-250.jpg,True,, 0,elgiganten.dk,P&G,DK,Search,10,https://www.elgiganten.dk/search/mundskyl,1
