sku,title,product_url,bullet_points,price,image,in_stock,rating,reviews,e_retailer,client,market,type,position,listing_url,page
335668,Philips Series 9000 rakapparat S998755 (mörk krom),https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/335668/philips-series-9000-rakapparat-s998755-mork-krom,"['Batteritid: 60 min', 'SkinIQ, Dual SteelPrecision blad', 'Våt/torr användning,Groom Tribe app']",3 299,https://www.elgiganten.se/image/dv_web_D180001002796611/335668/philips-series-9000-rakapparat-s998755-mork-krom.jpg?$digital220x220$,True,"4,6",151,elgiganten.se,P&G,SE,Search,1,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
SP986013,Philips S9000 Prestige rakapparat SP9860/13,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/SP986013/philips-s9000-prestige-rakapparat-sp986013,"['60 min batteritid', 'NanoTech blad', 'QI laddplatta, vattentät']",3 390,https://www.elgiganten.se/image/dv_web_D180001002293514/SP986013/philips-s9000-prestige-rakapparat-sp986013.jpg?$digital220x220$,True,"4,6",425,elgiganten.se,P&G,SE,Search,2,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
203908,Philips Series 7000 rakapparat 7786/55,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/203908/philips-series-7000-rakapparat-778655,"['Flexibla 360-D-huvuden', '60 min sladdlös användning', 'Våt och torr användning']",1 596,https://www.elgiganten.se/image/dv_web_D180001002672677/203908/philips-series-7000-rakapparat-778655.jpg?$digital220x220$,False,"4,6",141,elgiganten.se,P&G,SE,Search,3,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
203913,Philips Series 5000 rakapparat 5584/50,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/203913/philips-series-5000-rakapparat-558450,"['360-D flexibla huvuden', '60 min trådlös användning', 'Wet&Dry-rakning']",1 188,https://www.elgiganten.se/image/dv_web_D180001002496693/203913/philips-series-5000-rakapparat-558450.jpg?$digital220x220$,False,4,10,elgiganten.se,P&G,SE,Search,4,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
335640,Braun Series 9 Pro rakapparat BRA9410S,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/335640/braun-series-9-pro-rakapparat-bra9410s,"['60 min användartid, Wet & Dry', 'Sonic-teknologi', 'Vattentålig']",4 495,https://www.elgiganten.se/image/dv_web_D180001002787560/335640/braun-series-9-pro-rakapparat-bra9410s.jpg?$digital220x220$,True,"4,5",2,elgiganten.se,P&G,SE,Search,5,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
335643,Braun Series 9 Pro rakapparat BRA9465CC,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/335643/braun-series-9-pro-rakapparat-bra9465cc,"['60 minuters användartid, Wet & Dry', 'Sonic-teknologi', 'Vattentålig, 5-i-1 SmartCare Center']",4 995,https://www.elgiganten.se/image/dv_web_D180001002787557/335643/braun-series-9-pro-rakapparat-bra9465cc.jpg?$digital220x220$,True,4,1,elgiganten.se,P&G,SE,Search,6,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
335636,Braun Series 9 Pro rakapparat BRA9476CC,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/335636/braun-series-9-pro-rakapparat-bra9476cc,"['60 min användartid, Wet & Dry', 'Sonic-teknologi', 'PowerCase, 5-i-1 SmartCare Center']",4 795,https://www.elgiganten.se/image/dv_web_D180001002787238/335636/braun-series-9-pro-rakapparat-bra9476cc.jpg?$digital220x220$,True,5,1,elgiganten.se,P&G,SE,Search,7,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
335645,Braun Series 8 rakapparat BRA8417S,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/335645/braun-series-8-rakapparat-bra8417s,"['60 min användartid, Wet & Dry', 'Sonic-teknologi', 'Laddningsstativ ingår']",3 495,https://www.elgiganten.se/image/dv_web_D180001002787555/335645/braun-series-8-rakapparat-bra8417s.jpg?$digital220x220$,True,4,1,elgiganten.se,P&G,SE,Search,8,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
25742,Silk n rakapparat LS1PEU01,https://www.elgiganten.se/product/personvard/harborttagning-for-kroppen/ladyshave-och-bikinitrimmer/25742/silk-n-rakapparat-ls1peu01,"['Batteridriven', 'Anslutbar trimmer', 'Stänksäker']",96,https://www.elgiganten.se/image/dv_web_D180001002248553/25742/silk-n-rakapparat-ls1peu01.jpg?$digital220x220$,False,,,elgiganten.se,P&G,SE,Search,9,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
350672,Gillette Fusion5 rakapparat 596683,https://www.elgiganten.se/product/personvard/harborttagning-for-kroppen/rakhyvlar-och-rakblad/350672/gillette-fusion5-rakapparat-596683,"['5 antifriktionsblad', 'Precisionstrimmer', '2 rakblad']",135,https://www.elgiganten.se/image/dv_web_D180001002820142/350672/gillette-fusion5-rakapparat-596683.jpg?$digital220x220$,True,,,elgiganten.se,P&G,SE,Search,10,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
R0050,Remington MyGroom rakapparat R0050,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/R0050/remington-mygroom-rakapparat-r0050,"['Dubbla skärblad', 'Flexibla skärblad', 'Kompakt storlek']",249,https://www.elgiganten.se/image/dv_web_D18000100267124/R0050/remington-mygroom-rakapparat-r0050.jpg?$digital220x220$,False,,,elgiganten.se,P&G,SE,Search,11,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
HP6393,Philips Lady rakapparat HP6393,https://www.elgiganten.se/product/personvard/harborttagning-for-kroppen/epilator/HP6393/philips-lady-rakapparat-hp6393,"['Bärbar och kompakt', 'Kropp- och ansiktstillbehör', 'Ögonbrynsformare']",269,https://www.elgiganten.se/image/dv_web_D18000100251132/HP6393/philips-lady-rakapparat-hp6393.jpg?$digital220x220$,True,"4,4",76,elgiganten.se,P&G,SE,Search,12,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
F0050,Remington My Groom rakapparat F0050,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/F0050/remington-my-groom-rakapparat-f0050,"['Nätdriven', 'Dubbla flytande folier', '2 års garanti']",279,https://www.elgiganten.se/image/dv_web_D180001002181733/F0050/remington-my-groom-rakapparat-f0050.jpg?$digital220x220$,True,,,elgiganten.se,P&G,SE,Search,13,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
BRA190,Braun Rakapparat serie 1,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/BRA190/braun-rakapparat-serie-1,"['30 minuters rakning (10 dagar)', 'SmartFoil-teknologi fångar hårstrån i olika riktningar', 'Kan rengöras under vatten']",349,https://www.elgiganten.se/image/dv_web_D18000100279314/BRA190/braun-rakapparat-serie-1.jpg?$digital220x220$,True,"3,7",127,elgiganten.se,P&G,SE,Search,14,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
24462,Remington Style rakapparat F4000,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/24462/remington-style-rakapparat-f4000,"['Användartid: 45 min', 'Dual Flexing Foils', 'Vattentät, 2 LED-indikatorer']",391,https://www.elgiganten.se/image/dv_web_D180001002214063/24462/remington-style-rakapparat-f4000.jpg?$digital220x220$,False,4,1,elgiganten.se,P&G,SE,Search,15,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
24463,Remington Style rakapparat F300,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/24463/remington-style-rakapparat-f300,"['Användartid: 40 min', 'Dual Flexing Foils', 'Trimmer ingår']",399,https://www.elgiganten.se/image/dv_web_D180001002214163/24463/remington-style-rakapparat-f300.jpg?$digital220x220$,True,,,elgiganten.se,P&G,SE,Search,16,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
272720,Braun Series 3 rakapparat 301S,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/272720/braun-series-3-rakapparat-301s,"['20 minuters batteritid', '3 rakelement', 'Vattentät']",469,https://www.elgiganten.se/image/dv_web_D180001002674629/272720/braun-series-3-rakapparat-301s.jpg?$digital220x220$,True,,,elgiganten.se,P&G,SE,Search,17,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
ESSL33S503,Panasonic rakapparat ES-SL33-S503,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/ESSL33S503/panasonic-rakapparat-es-sl33-s503,"['21 minuters batteritid', 'Kan användas vått och torrt', 'Integrerad pop-up-trimmer']",599,https://www.elgiganten.se/image/dv_web_D18000100242219/ESSL33S503/panasonic-rakapparat-es-sl33-s503.jpg?$digital220x220$,True,4,1,elgiganten.se,P&G,SE,Search,18,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
53153,Philips Series 3000 rakapparat S323352,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/53153/philips-series-3000-rakapparat-s323352,"['Användningstid: 60 minuter', '5D Pivot & Flex-huvuden', 'För både våt och torr rakning']",696,https://www.elgiganten.se/image/dv_web_D180001002309192/53153/philips-series-3000-rakapparat-s323352.jpg?$digital220x220$,False,"4,4",237,elgiganten.se,P&G,SE,Search,19,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
67363,Philips huvud för rakapparat SH70/70,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/67363/philips-huvud-for-rakapparat-sh7070,"['Series 7000 (S7xxx)', 'SensoTouch 3D (RQ12xx)', 'Arcitec (RQ10xx)']",696,https://www.elgiganten.se/image/dv_web_D180001002315630/67363/philips-huvud-foer-rakapparat-sh7070.jpg?$digital220x220$,False,"2,9",11,elgiganten.se,P&G,SE,Search,20,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
272719,Braun Series 5 rakapparat 50-R1000S,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/272719/braun-series-5-rakapparat-50-r1000s,"['50 min batteritid', '3 flexibla blad', 'EasyClean, vattentät']",749,https://www.elgiganten.se/image/dv_web_D180001002674639/272719/braun-series-5-rakapparat-50-r1000s.jpg?$digital220x220$,False,5,1,elgiganten.se,P&G,SE,Search,21,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
203911,Philips Series 5000 rakapparat 5587/30,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/203911/philips-series-5000-rakapparat-558730,"['360-D flexibla huvuden', '60 min trådlös användning', 'Wet&Dry-rakning']",899,https://www.elgiganten.se/image/dv_web_D180001002496677/203911/philips-series-5000-rakapparat-558730.jpg?$digital220x220$,False,"4,5",291,elgiganten.se,P&G,SE,Search,22,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
203909,Philips Series 5000 rakapparat S5589/38,https://www.elgiganten.se/product/personvard/rakapparat-och-trimmer/rakapparat-och-skaggtrimmer/203909/philips-series-5000-rakapparat-s558938,"['360-D flexibla huvuden', '60 min trådlös användning', 'Wet&Dry-rakning']",939,https://www.elgiganten.se/image/dv_web_D180001002495543/203909/philips-series-5000-rakapparat-s558938.jpg?$digital220x220$,False,"4,5",272,elgiganten.se,P&G,SE,Search,23,https://www.elgiganten.se/search?SearchTerm=rakapparat&search=&searchResultTab=,1
