sku,title,brand,product_url,bullet_points,price,image,in_stock,rating,reviews,e_retailer,client,market,type,position,listing_url,page
151541,Braun skjeggtrimmer BT5260,,https://www.elkjop.no/product/styling-og-velvare/barbermaskin-og-trimmer/barbermaskiner-og-skjeggtrimmere/151541/braun-skjeggtrimmer-bt5260,"['Brukstid: 100 min', 'Blader som ikke blir sløve', '39 lengdeinnstillinger']",691,https://www.elkjop.no/image/dv_web_D180001002765876/151541/braun-skjeggtrimmer-bt5260.jpg?$digital220x220$,True,"4,2",6,elkjop.no,P&G,NO,Search,1,https://www.elkjop.no/search?SearchTerm=skjeggtrimmer&search=&searchResultTab=,1
29702,Philips 5000 series skjeggtrimmer BT550215,,https://www.elkjop.no/product/styling-og-velvare/barbermaskin-og-trimmer/barbermaskiner-og-skjeggtrimmere/29702/philips-5000-series-skjeggtrimmer-bt550215,"['Brukstid: 90 min', '40 lengdeinnstillinger', 'Vannbestandig, trådløs']",499,https://www.elkjop.no/image/dv_web_D180001002234232/29702/philips-5000-series-skjeggtrimmer-bt550215.jpg?$digital220x220$,True,"4,4",104,elkjop.no,P&G,NO,Search,2,https://www.elkjop.no/search?SearchTerm=skjeggtrimmer&search=&searchResultTab=,1
303795,Philips 3000 Series skjeggtrimmer BT322214,,https://www.elkjop.no/product/styling-og-velvare/barbermaskin-og-trimmer/barbermaskiner-og-skjeggtrimmere/303795/philips-3000-series-skjeggtrimmer-bt322214,"['60 minutters brukstid', 'Lift & Trim-system', '20 lengder, oppbevaringspose']",399,https://www.elkjop.no/image/dv_web_D180001002724331/303795/philips-3000-series-skjeggtrimmer-bt322214.jpg?$digital220x220$,True,"4,6",82,elkjop.no,P&G,NO,Search,3,https://www.elkjop.no/search?SearchTerm=skjeggtrimmer&search=&searchResultTab=,1
BT750015,Philips Series 7000 skjeggtrimmer BT750015,,https://www.elkjop.no/product/styling-og-velvare/barbermaskin-og-trimmer/barbermaskiner-og-skjeggtrimmere/BT750015/philips-series-7000-skjeggtrimmer-bt750015,"['20 faste lengdeinnstillinger', 'Brukertid: 75 min', 'Click-on presisjonstrimmer']",499,https://www.elkjop.no/image/dv_web_D18000100291604/BT750015/philips-series-7000-skjeggtrimmer-bt750015.jpg?$digital220x220$,True,"3,8",254,elkjop.no,P&G,NO,Search,4,https://www.elkjop.no/search?SearchTerm=skjeggtrimmer&search=&searchResultTab=,1
53148,Philips 9000 Prestige skjeggtrimmer BT981015,,https://www.elkjop.no/product/styling-og-velvare/barbermaskin-og-trimmer/barbermaskiner-og-skjeggtrimmere/53148/philips-9000-prestige-skjeggtrimmer-bt981015,"['120 min brukstid', 'SteelPrecision, PowerAdapt Sensor', 'Metallblader, vanntett']",1 290,https://www.elkjop.no/image/dv_web_D180001002426730/53148/philips-9000-prestige-skjeggtrimmer-bt981015.jpg?$digital220x220$,False,"4,4",104,elkjop.no,P&G,NO,Search,5,https://www.elkjop.no/search?SearchTerm=skjeggtrimmer&search=&searchResultTab=,1
309778,Philips Series 3000 skjeggtrimmer BT320614V2,,https://www.elkjop.no/product/styling-og-velvare/barbermaskin-og-trimmer/barbermaskiner-og-skjeggtrimmere/309778/philips-series-3000-skjeggtrimmer-bt320614v2,"['Brukstid: 45 min', 'Kvalitets rustfri stålblader', '10 lengder (0,5-10 mm)']",249,https://www.elkjop.no/image/dv_web_D180001002748767/309778/philips-series-3000-skjeggtrimmer-bt320614v2.jpg?$digital220x220$,False,"4,6",82,elkjop.no,P&G,NO,Search,6,https://www.elkjop.no/search?SearchTerm=skjeggtrimmer&search=&searchResultTab=,1
BT320614,Philips Series 3000 skjeggtrimmer BT320614,,https://www.elkjop.no/product/styling-og-velvare/barbermaskin-og-trimmer/barbermaskiner-og-skjeggtrimmere/BT320614/philips-series-3000-skjeggtrimmer-bt320614,"['Brukstid: 45 minutter', 'Kvalitetsblader i rustfritt stål', '10 lengdeinnstilligner (0,5-10 mm)']",270,https://www.elkjop.no/image/dv_web_D180001002234979/BT320614/philips-series-3000-skjeggtrimmer-bt320614.jpg?$digital220x220$,True,"4,5",84,elkjop.no,P&G,NO,Search,7,https://www.elkjop.no/search?SearchTerm=skjeggtrimmer&search=&searchResultTab=,1
222946,Remington Style Series B3 skjeggtrimmer MB3000,,https://www.elkjop.no/product/styling-og-velvare/barbermaskin-og-trimmer/barbermaskiner-og-skjeggtrimmere/222946/remington-style-series-b3-skjeggtrimmer-mb3000,"['Brukstid: 60 minutter', 'Titanbelagte blader', 'Lengdeinnstillinger: 0,4 - 18 mm']",299,https://www.elkjop.no/image/dv_web_D180001002525491/222946/remington-style-series-b3-skjeggtrimmer-mb3000.jpg?$digital220x220$,True,,,elkjop.no,P&G,NO,Search,8,https://www.elkjop.no/search?SearchTerm=skjeggtrimmer&search=&searchResultTab=,1
348993,Remington Omniblade skjeggtrimmer HG1000 (sort),,https://www.elkjop.no/product/styling-og-velvare/barbermaskin-og-trimmer/barbermaskiner-og-skjeggtrimmere/348993/remington-omniblade-skjeggtrimmer-hg1000-sort,"['Batteridrevet', '100% vanntett', '3 stk. skjeggkammer']",299,https://www.elkjop.no/image/dv_web_D180001002871495/348993/remington-omniblade-skjeggtrimmer-hg1000-sort.jpg?$digital220x220$,True,,,elkjop.no,P&G,NO,Search,9,https://www.elkjop.no/search?SearchTerm=skjeggtrimmer&search=&searchResultTab=,1
MB4120,Remington skjeggtrimmer MB4120,,https://www.elkjop.no/product/styling-og-velvare/barbermaskin-og-trimmer/barbermaskiner-og-skjeggtrimmere/MB4120/remington-skjeggtrimmer-mb4120,"['11 lengdeinnstillinger', 'OptiAngle-design', 'Batteridrevet']",329,https://www.elkjop.no/image/dv_web_D18000100261039/MB4120/remington-skjeggtrimmer-mb4120.jpg?$digital220x220$,True,"3,9",11,elkjop.no,P&G,NO,Search,10,https://www.elkjop.no/search?SearchTerm=skjeggtrimmer&search=&searchResultTab=,1
