sku,title,product_url,description,price,image,rating,reviews,e_retailer,client,market,type,position,listing_url,page
2149057,Braun Silk-épil 1 1170 Epilator,https://www.kruidvat.be/nl/braun-silk-epil-1-1170-epilator/p/2149057,,27.99,https://www.kruidvat.be/medias/prd-front-2149057-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8MjQzOTZ8aW1hZ2UvanBlZ3xoMjAvaGMxLzExODcyMzYzNTc3Mzc0L3ByZC1mcm9udC0yMTQ5MDU3LTFfNjAweDYwMHw1MWZjOWRiNmM0NGZjM2JiZDQ3MjYxNWRjZDAxNTk1NzRkYWFlMzhmNGJmNTVjOWU4OTU1YmQxZjQ1MTc4OTM5,4.2667,15,kruidvat.be,P&G,BE,Search,1,https://www.kruidvat.be/nl/search?q=epilator&text=epilator&searchType=manual,1
4843462,Toppers van TV Epi Smooth Epilator,https://www.kruidvat.be/nl/toppers-van-tv-epi-smooth-epilator/p/4843462,,14.99,https://www.kruidvat.be/medias/prd-front-4843462-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8MTM5MzV8aW1hZ2UvanBlZ3xoYzEvaGZkLzEyMDE5Njk4NzI4OTkwL3ByZC1mcm9udC00ODQzNDYyLTFfNjAweDYwMHw2ODZlZTdkMmZjYzU1NmQ5MzU3NDBkOGJjMzhiMDk5NDQwNmVlMzVhMTRkOGUxNWJhNzc5ZTMzM2MyYjFiNDA2,1.1803,61,kruidvat.be,P&G,BE,Search,2,https://www.kruidvat.be/nl/search?q=epilator&text=epilator&searchType=manual,1
5465230,"Carmen 2-In-1 Satin Set, Ladyshave",https://www.kruidvat.be/nl/carmen-2-in-1-satin-set-ladyshave/p/5465230,,24.99,https://www.kruidvat.be/medias/prd-front-5465230-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8MTczMDN8aW1hZ2UvanBlZ3xoY2QvaGY2LzExODU3NzIxNjg4MDk0L3ByZC1mcm9udC01NDY1MjMwLTFfNjAweDYwMHw2OTVhOGQ4ODhiYTgwODJhNDI1ZjNmMmU3OWUyZjMxZWI2NGZhYTNhOTgzZDZjMGUxZGQ2YWQ0NjUyYzJkMDMw,4.0,1,kruidvat.be,P&G,BE,Search,3,https://www.kruidvat.be/nl/search?q=epilator&text=epilator&searchType=manual,1
4386747,Braun FaceSpa Pro 910 Gezichtsepilator,https://www.kruidvat.be/nl/braun-facespa-pro-910-gezichtsepilator/p/4386747,"wit, zilverkleur",99.99,https://www.kruidvat.be/medias/prd-front-4386747-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8MjIwOTJ8aW1hZ2UvanBlZ3xoNWEvaGJmLzEyMDkwMjk1NjQ4Mjg2L3ByZC1mcm9udC00Mzg2NzQ3LTFfNjAweDYwMHw3NGUzYTEzNTMwNDc2MWVlOGJlMDI3NzJkMGZiMjdjZmZlNGE1Njk5N2M1OWVkZDJlMDYxYzQwNGNiNzdkYzA3,4.381,21,kruidvat.be,P&G,BE,Search,4,https://www.kruidvat.be/nl/search?q=epilator&text=epilator&searchType=manual,1
2196790,Nivea Men Sensitive Scheerschuim,https://www.kruidvat.be/nl/nivea-men-sensitive-scheerschuim/p/2196790,250ml,3.89,https://www.kruidvat.be/medias/prd-front-2196790-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8MTY1OTV8aW1hZ2UvanBlZ3xoOTIvaDA2LzExODcyNDgzNTQxMDIyL3ByZC1mcm9udC0yMTk2NzkwLTFfNjAweDYwMHxiYjU4ZjJhNmVkNWUxOWNmZGQzOTllZmUwZDVkNDk2OWFkZWJjMDUzYjlhZjk2MjJhNjhhZWQzYjAxMWFjZjhi,3.8889,9,kruidvat.be,P&G,BE,Search,1,https://www.kruidvat.be/nl/search?q=scheerschuim&text=scheerschuim&searchType=manual,1
29421,Gillette Scheerschuim voor de Gevoelige Huid,https://www.kruidvat.be/nl/gillette-scheerschuim-voor-de-gevoelige-huid/p/29421,200ml,2.19,https://www.kruidvat.be/medias/prd-front-29421-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8MTc2NzJ8aW1hZ2UvanBlZ3xoYTMvaDZmLzExOTY1OTYwNDU0MTc0L3ByZC1mcm9udC0yOTQyMS0xXzYwMHg2MDB8ZjkxZDBjMDRjNjMyZTVlN2RkMzNhOWJmMDNlNGZhNDdkZGM4ZmQwOTNlNWMwYTgwMGJjMGQ0ZmUxNWE2ZGM2Nw,4.32,25,kruidvat.be,P&G,BE,Search,2,https://www.kruidvat.be/nl/search?q=scheerschuim&text=scheerschuim&searchType=manual,1
20080,Gillette Series Scheerschuim voor de Gevoelige Huid,https://www.kruidvat.be/nl/gillette-series-scheerschuim-voor-de-gevoelige-huid/p/20080,250ml,2.19,https://www.kruidvat.be/medias/prd-front-20080-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8MjA3NzN8aW1hZ2UvanBlZ3xoNmYvaGM1LzExOTY0MTAzNTI0MzgyL3ByZC1mcm9udC0yMDA4MC0xXzYwMHg2MDB8ZjExYTM5MzQ2NDU2ZjllMzNkMDVjYWViMTg3ZjYyYTdhMmJhN2VhMDFjNDU4YmQ0OTg5YTIzNTI2ZDFkMGQ1ZQ,4.3385,65,kruidvat.be,P&G,BE,Search,3,https://www.kruidvat.be/nl/search?q=scheerschuim&text=scheerschuim&searchType=manual,1
25213,Gillette Normale Huid Scheerschuim,https://www.kruidvat.be/nl/gillette-normale-huid-scheerschuim/p/25213,300ml,3.29,https://www.kruidvat.be/medias/prd-front-25213-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8MTg3Mjl8aW1hZ2UvanBlZ3xoMDYvaDA2LzExOTY0MTA2NjA0NTc0L3ByZC1mcm9udC0yNTIxMy0xXzYwMHg2MDB8OTMyYmNlY2E3MjNiNzllNjNhNTg1OGUyNWIxOWRkOWY1NDFkNGI1NzZhNjhjZjA3MjAwNjdhZTBmZDYwNWVkMQ,4.0,3,kruidvat.be,P&G,BE,Search,4,https://www.kruidvat.be/nl/search?q=scheerschuim&text=scheerschuim&searchType=manual,1
4558877,Wilkinson Sword Intuition Variety Navulscheermesjes,https://www.kruidvat.be/nl/wilkinson-sword-intuition-variety-navulscheermesjes/p/4558877,4 stuks,12.99,https://www.kruidvat.be/_ui/addons/kvstorefrontaddon/responsive/common/images/missing_product_nl_BE_300x300.png,3.3333,3,kruidvat.be,P&G,BE,Search,5,https://www.kruidvat.be/nl/search?q=scheerschuim&text=scheerschuim&searchType=manual,1
4038224,Wilkinson Sword Intuition Sensitive Scheermesje,https://www.kruidvat.be/nl/wilkinson-sword-intuition-sensitive-scheermesje/p/4038224,,12.49,https://www.kruidvat.be/medias/prd-front-4038224-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8MzA3OTJ8aW1hZ2UvanBlZ3xoOTUvaDI5LzExOTc3MDQ0NTU3ODU0L3ByZC1mcm9udC00MDM4MjI0LTFfNjAweDYwMHxkYWYxZGRhYjI1NDgxYTlhNmJjN2Y1ZGU4ZmUyMjQ5NGViMjc0NWE4YzczZDRmNzAwMzVlZWYyMDdjY2IwZjEz,4.5,2,kruidvat.be,P&G,BE,Search,6,https://www.kruidvat.be/nl/search?q=scheerschuim&text=scheerschuim&searchType=manual,1
3418416,Gillette Venus ComfortGlide Breeze Scheermesjes,https://www.kruidvat.be/nl/gillette-venus-comfortglide-breeze-scheermesjes/p/3418416,8 stuks,37.99,https://www.kruidvat.be/medias/prd-front-3418416-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NDU5NjJ8aW1hZ2UvanBlZ3xoYzEvaDdkLzExODgyMzQ3OTU0MjA2L3ByZC1mcm9udC0zNDE4NDE2LTFfNjAweDYwMHwxOTk2NzQ2ZWZlZDU1MTkwZjQ2Nzk0ODZmZmJkZWQxYjVmY2MxOGJjYWZlZDEwNTA2NDQyNWIwNjBlZTgxMmJi,4.6938,1816,kruidvat.be,P&G,BE,Search,7,https://www.kruidvat.be/nl/search?q=scheerschuim&text=scheerschuim&searchType=manual,1
3876636,Braun Series 3 ProSkin 3010s Scheerapparaat,https://www.kruidvat.be/nl/braun-series-3-proskin-3010s-scheerapparaat/p/3876636,,99.99,https://www.kruidvat.be/medias/prd-front-3876636-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NDk2OTd8aW1hZ2UvanBlZ3xoNmQvaDViLzEyMDM5NjQ2MDE5NjE0L3ByZC1mcm9udC0zODc2NjM2LTFfNjAweDYwMHw5MzkzNjBiOWZhZjI4YWQ2ODZjZDdmZDM1ZGFjOGYxMjFmZDc0MDJhNDk4NzBlNTA4OWQ5NWU0ZDdkNjY5OTUw,4.0256,39,kruidvat.be,P&G,BE,Search,8,https://www.kruidvat.be/nl/search?q=scheerschuim&text=scheerschuim&searchType=manual,1
