sku,title,brand,product_url,technical_details,old_price,price,main_image,is_sponsored,in_stock,rating,reviews,e_retailer,client,market,type,position,listing_url,page
, BT 5515/15 Bartschneider,PHILIPS,https://www.mediamarkt.de/de/product/_philips-bt-5515-15-2528097.html,Produkttyp Bartschneider Betriebsart Netz-/Akkubetrieb Minimale Schnittlänge 0.4 mm Maximale Schnittlänge 20 mm,59.99,48.99,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_72281166/mobile_200_200_png,True,True,,(308),mediamarkt.de,client_name,DE,Search,1,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
, BT9810/90 Prestige Bartschneider,PHILIPS,https://www.mediamarkt.de/de/product/_philips-bt9810-90-prestige-2747422.html,Produkttyp Bartschneider Betriebsart Netz-/Akkubetrieb Minimale Schnittlänge 0.4 mm Maximale Schnittlänge 10 mm,,159.99,,True,True,,(42),mediamarkt.de,client_name,DE,Search,2,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
, Augenbrauen Trimmer Schwarz ,FRISEURMEISTER,https://www.mediamarkt.de/de/product/friseurmeister-augenbrauen-trimmer-schwarz--89262244.html,Produkttyp Trimmer Aufsätze Augenbrauenformer Anzahl Schnittstufen 1 Besondere Merkmale Augenbrauenformer zum präzisen Stutzen und zur schmerzfreien Entfernung von Gesichtshaaren,,19.90,,False,True,,(0),mediamarkt.de,client_name,DE,Search,3,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
, MSR501 Herrenrasierer Schwarz ,BLAUPUNKT,https://www.mediamarkt.de/de/product/blaupunkt-msr501-herrenrasierer-schwarz--89090203.html,Produkttyp Herrenrasierer Betriebsart Akkubetrieb Nassbetrieb Ja Farbe (laut Hersteller) Schwarz,,29.99,,False,True,,(0),mediamarkt.de,client_name,DE,Search,4,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
, BT 7240 Bartschneider,BRAUN,https://www.mediamarkt.de/de/product/_braun-bt-7240-2618967.html,Produkttyp Bartschneider Betriebsart Akkubetrieb Minimale Schnittlänge 0.5 mm Maximale Schnittlänge 20 mm,79.99,53.99,,False,True,,(235),mediamarkt.de,client_name,DE,Search,5,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
, S5588 Rasierer Schwarz (Aquatec Wet & Dry),PHILIPS,https://www.mediamarkt.de/de/product/_philips-s5588-2670818.html,Produkttyp Rasierer Rasiersystem Aquatec Wet & Dry Betriebsart Akkubetrieb Anzahl rotierender Köpfe 3,99.99,89.99,,False,True,,(100),mediamarkt.de,client_name,DE,Search,6,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
, MS 6240 Rasierer Schwarz/Blau (3-fach Schneidsystem),GRUNDIG,https://www.mediamarkt.de/de/product/_grundig-ms-6240-1766482.html,Produkttyp Rasierer Rasiersystem 3-fach Schneidsystem Betriebsart Netz-/Akkubetrieb Anzahl und Typ der Scherfolien 2,69.99,23.99,,False,True,,(32),mediamarkt.de,client_name,DE,Search,7,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
," RFC-1611 Digi4sales Edition Multigroomer, Gold",M2-TEC,https://www.mediamarkt.de/de/product/m2-tec-rfc-1611-digi4sales-edition-multigroomer-88072734.html,Produkttyp Multigroomer Schnittbreite 40 mm Minimale Schnittlänge 3 mm Maximale Schnittlänge 18 mm,34.90,29.90,,False,True,,(0),mediamarkt.de,client_name,DE,Search,8,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
, QP 6505/20 OneBlade Pro Bartschneider,PHILIPS,https://www.mediamarkt.de/de/product/_philips-qp-6505-20-oneblade-pro-2457188.html,Produkttyp Bartschneider Betriebsart Akkubetrieb Minimale Schnittlänge 0.5 mm Maximale Schnittlänge 7 mm,38.64,33.–,,False,True,,(491),mediamarkt.de,client_name,DE,Search,9,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
, S7788/55 Rasierer dunkles Chrom (SteelPrecision Schersystem),PHILIPS,https://www.mediamarkt.de/de/product/_philips-s7788-55-2670816.html,Produkttyp Rasierer Rasiersystem SteelPrecision Schersystem Betriebsart Akkubetrieb Anzahl rotierender Köpfe 3,159.99,129.99,,False,True,,(146),mediamarkt.de,client_name,DE,Search,10,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
," MGK 7220 Multigroomer, Silber-grau",BRAUN,https://www.mediamarkt.de/de/product/_braun-mgk-7220-2618971.html,Produkttyp Multigroomer Schnittbreite 32 mm Minimale Schnittlänge 0.5 mm Maximale Schnittlänge 21 mm,89.99,59.99,,False,True,,(130),mediamarkt.de,client_name,DE,Search,11,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
, Series 3 Shave&Style - 3010BT Rasierer Schwarz/Blau (Wet & Dry),BRAUN,https://www.mediamarkt.de/de/product/_braun-series-3-shave-style-3010bt-2207901.html,Produkttyp Rasierer Rasiersystem Wet & Dry Betriebsart Akkubetrieb Präzisionstrimmer Ja,109.99,89.99,,False,True,,(565),mediamarkt.de,client_name,DE,Search,12,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
," Nk-1711 Digi4sales Edition Multigroomer, Braun",M2-TEC,https://www.mediamarkt.de/de/product/m2-tec-nk-1711-digi4sales-edition-multigroomer--88072730.html,Produkttyp Multigroomer Schnittbreite 40 mm Minimale Schnittlänge 3 mm Maximale Schnittlänge 12 mm,45.90,39.90,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MP_88072731/mobile_200_200_png,False,True,,(0),mediamarkt.de,client_name,DE,Search,13,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
," SHAVER Series 9000 S9987/55 Rasierer Dark chrome (Trocken & Nass, Drehend)",PHILIPS,https://www.mediamarkt.de/de/product/_philips-shaver-series-9000-s9987-55-2735135.html,"Produkttyp Rasierer Rasiersystem Trocken & Nass, Drehend Betriebsart Akkubetrieb Scherkopftechnologie Dual SteelPrecision Klingen",249.99,219.99,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_84785263/mobile_200_200_png,False,True,,(99),mediamarkt.de,client_name,DE,Search,14,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
, Series 3 - 301 + Reisebeutel Rasierer Schwarz (Scherfoliensystem),BRAUN,https://www.mediamarkt.de/de/product/_braun-series-3-301-reisebeutel-2209787.html,Produkttyp Rasierer Rasiersystem Scherfoliensystem Betriebsart Netz-/Akkubetrieb Anzahl und Typ der Scherfolien 3-fach,69.99,41.99,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-74020875/mobile_200_200_png,False,True,,(592),mediamarkt.de,client_name,DE,Search,15,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
," MG 7745/15 EDELSTAHL Multigroomer, Schwarz / Silber",PHILIPS,https://www.mediamarkt.de/de/product/_philips-mg-7745-15-edelstahl-2457171.html,Produkttyp Multigroomer Rasiersystem DualCut-Technologie Genießen Minimale Schnittlänge 3 mm Maximale Schnittlänge 7 mm,79.99,65.99,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-78230204/mobile_200_200_png,False,True,,(239),mediamarkt.de,client_name,DE,Search,16,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
, S3233/52 SERIES 3000 Rasierer Dark Moon (PowerCut-Schersystem),PHILIPS,https://www.mediamarkt.de/de/product/_philips-s3233-52-series-3000-2583350.html,Produkttyp Rasierer Rasiersystem PowerCut-Schersystem Betriebsart Akkubetrieb Anzahl rotierender Köpfe 3,,64.99,,False,False,,(153),mediamarkt.de,client_name,DE,Search,17,https://www.mediamarkt.de/de/category/rasierer-haarentfernung-157.html?page=3,1
