sku,title,brand,product_url,description,old_price,price,main_image,in_stock,category,rating,reviews,e_retailer,client,market,type,position,listing_url
p-129922,ORAL-B PRO 1 750 Nero Designed Edition,ORAL B,https://www.mediaworld.it/product/p-129922/oral-b-pro-1-750-nero-designed-edition,          Alimentazione: Ricaricabile - Numero testine: 1 - Velocità: 1 Oscillazioni al minuto: 8800 - Pulsazioni al minuto: 20000 Tecnologia Rotatoria oscillante e pulsante - Timer,,32.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/12/99/129922_thumb.jpg,True,Spazzolino Elettrico,,,mediaworld.it,P&G,IT,Search,1,https://www.mediaworld.it/search/spazzolino%20elettrico
p-990882,ORAL-B PRO 970 Sensi UltraThin,ORAL B,https://www.mediaworld.it/product/p-990882/oral-b-pro-970-sensi-ultrathin,"          Spazzolino elettrico&nbsp,Ricaricabile Numero testine: 3 -&nbsp,Timer Oscillazioni al minuto: 9900 -&nbsp,Pulsazioni al minuto: 45000 Tecnologia pulizia denti: Rotatoria oscillante e pulsante",,34.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/99/08/990882_thumb.jpg,True,Spazzolino elettrico,3.0000,(1),mediaworld.it,P&G,IT,Search,2,https://www.mediaworld.it/search/spazzolino%20elettrico
p-146024,ORAL-B Genius 10900N Duo,ORAL-B,https://www.mediaworld.it/product/p-146024/oral-b-genius-10900n-duo,          Alimentazione: Ricaricabile - 2 Testine Oscillazioni al minuto: 10500 Pulsazioni al minuto: 48000 Tecnologia pulizia denti: Rotatoria oscillante e pulsante Timer: S&igrave,,419.0,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/14/60/146024_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,3,https://www.mediaworld.it/search/spazzolino%20elettrico
p-101932,ORAL-B Vitality 100 Cross Action,ORAL B,https://www.mediaworld.it/product/p-101932/oral-b-vitality-100-cross-action,"          Spazzolino elettrico Ricaricabile 1 Velocit&agrave,&nbsp,- Oscillazioni al minuto: 7600 Tecnologia pulizia denti: Rotatoria oscillante - Timer",,19.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/10/19/101932_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,4,https://www.mediaworld.it/search/spazzolino%20elettrico
p-101906,ORAL-B Vitality Cross Action X2,ORAL B,https://www.mediaworld.it/product/p-101906/oral-b-vitality-cross-action-x2,"          2 Spazzolini&nbsp,elettrici&nbsp,Ricaricabili Numero testine: 1 - Oscillazioni al minuto: 7600 Tecnologia pulizia denti: Rotatoria oscillante - Timer",,34.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/10/19/101906_thumb.jpg,True,Spazzolino elettrico,5.0000,(2),mediaworld.it,P&G,IT,Search,5,https://www.mediaworld.it/search/spazzolino%20elettrico
p-681732,ORAL-B Pro 600 Orange,ORAL B,https://www.mediaworld.it/product/p-681732/oral-b-pro-600-orange,          Spazzolino ricaricabile - Pulizia tridimensionale Funzione Daily Clean e sensore di pressione 1 Testina: 1 CrossAction - Colore: Orange ,,35.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/68/17/681732_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,6,https://www.mediaworld.it/search/spazzolino%20elettrico
p-618376,ORAL-B Advance Power 400 TX,ORAL B,https://www.mediaworld.it/product/p-618376/oral-b-advance-power-400-tx,          Spazzolino elettrico - 1pz 1 testina ,,11.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/61/83/618376_thumb.jpg,True,spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,7,https://www.mediaworld.it/search/spazzolino%20elettrico
p-101946,ORAL-B Vitality 100 Cross Action Nero,ORAL B,https://www.mediaworld.it/product/p-101946/oral-b-vitality-100-cross-action-nero,"          Spazzolino elettrico&nbsp,Ricaricabile 1 testina - 1 Velocit&agrave, - Timer Oscillazioni al minuto: 7600 Tecnologia pulizia denti: Rotatoria oscillante",,24.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/10/19/101946_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,8,https://www.mediaworld.it/search/spazzolino%20elettrico
p-101937,ORAL-B Smart 5 5100s Bianco,ORAL B,https://www.mediaworld.it/product/p-101937/oral-b-smart-5-5100s-bianco,"          Spazzolino elettrico -Spazzolino elettrico - Alimentazione: Ricaricabile - Numero testine: 3 - Velocit&agrave,:  - Oscillazioni al minuto: 9900 - Pulsazioni al minuto: 45000 - Tecnologia pulizia denti: Rotatoria oscillante e pulsante - Timer: Sì",,89.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/10/19/101937_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,9,https://www.mediaworld.it/search/spazzolino%20elettrico
p-146469,ORAL-B Smart Sensitive,ORAL-B,https://www.mediaworld.it/product/p-146469/oral-b-smart-sensitive,          Alimentazione: Ricaricabile - 1 Testina Oscillazioni al minuto: 10500 Pulsazioni al minuto: 48000 Tecnologia pulizia denti: Rotatoria oscillante e pulsante Timer,,99.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/14/64/146469_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,10,https://www.mediaworld.it/search/spazzolino%20elettrico
